Total new cards: 98

PL!-PR-018-PR: 東條 希 | type=メンバー | product=PRカード | ability=YES
PL!HS-pb1-011-P＋: 大沢瑠璃乃 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-011-R: 大沢瑠璃乃 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-012-P＋: 百生吟子 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-012-R: 百生吟子 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-013-P＋: 徒町小鈴 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-013-R: 徒町小鈴 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-014-P＋: 安養寺姫芽 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-014-R: 安養寺姫芽 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-015-P＋: セラス 柳田 リリエンフェルト | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-015-R: セラス 柳田 リリエンフェルト | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-016-P＋: 桂城 泉 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-016-R: 桂城 泉 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-017-N: 日野下花帆 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-018-N: 村野さやか | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-019-N: 大沢瑠璃乃 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-020-N: 百生吟子 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-021-N: 徒町小鈴 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-022-N: 安養寺姫芽 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-023-N: セラス 柳田 リリエンフェルト | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-024-N: 桂城 泉 | type=メンバー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-025-L: 抱きしめる花びら | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-026-L: 雪舞う空と二秒の永遠 | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-027-L: ユメワズライ | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-028-L: COMPASS | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-029-L: 全方位キュン♡ | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-030-L: Edelied | type=ライブ | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=YES
PL!HS-pb1-031-PE: 日野下花帆 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-031-PE＋: 日野下花帆 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-032-PE: 村野さやか | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-032-PE＋: 村野さやか | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-033-PE: 大沢瑠璃乃 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-033-PE＋: 大沢瑠璃乃 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-034-PE: 百生吟子 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-034-PE＋: 百生吟子 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-035-PE: 徒町小鈴 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-035-PE＋: 徒町小鈴 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-036-PE: 安養寺姫芽 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-036-PE＋: 安養寺姫芽 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-037-PE: セラス 柳田 リリエンフェルト | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-037-PE＋: セラス 柳田 リリエンフェルト | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-038-PE: 桂城 泉 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-038-PE＋: 桂城 泉 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-039-SRE: 日野下花帆 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-040-SRE: 村野さやか | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-041-SRE: 大沢瑠璃乃 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-042-SRE: 百生吟子 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-043-SRE: 徒町小鈴 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-044-SRE: 安養寺姫芽 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-045-SRE: セラス 柳田 リリエンフェルト | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-046-SRE: 桂城 泉 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-047-SRE: スリーズブーケ | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-048-SRE: DOLLCHESTRA | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-049-SRE: みらくらぱーく！ | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-050-SRE: Edel Note | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-051-SRE: 蓮ノ空女学院スクールアイドルクラブ | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-052-SECE: 日野下花帆 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-052-SRE: 日野下花帆 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-100-LLE: 日野下花帆 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-200-LLE: 村野さやか | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-300-LLE: 大沢瑠璃乃 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-400-LLE: 百生吟子 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-500-LLE: 徒町小鈴 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-600-LLE: 安養寺姫芽 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-700-LLE: セラス 柳田 リリエンフェルト | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
PL!HS-pb1-800-LLE: 桂城 泉 | type=エネルギー | product=プレミアムブースター蓮ノ空女学院スクールアイドルクラブ | ability=no
